,state,Education,totalyearlycompensation,yearsofexperience,yearsatcompany,basesalary,stockgrantvalue,bonus,cityid,dmaid,rowNumber,Masters_Degree,Bachelors_Degree,Doctorate_Degree,Highschool,Some_College,Race_Asian,Race_White,Race_Two_Or_More,Race_Black,Race_Hispanic,Year
66,KY,Bachelor's Degree,100272.72727272728,6.0,2.3636363636363638,90636.36363636363,3909.090909090909,5818.181818181818,10242.181818181818,531.0,62466.09090909091,0.0,1.0,0.0,0.0,0.0,0.0,0.6363636363636364,0.0,0.09090909090909091,0.0,2020.6363636363637
67,KY,Master's Degree,179800.0,7.2,1.8,116400.0,55000.0,8600.0,10452.2,430.2,50263.0,1.0,0.0,0.0,0.0,0.0,0.2,0.4,0.0,0.0,0.0,2020.6
68,KY,Some College,138000.0,20.0,1.0,118000.0,0.0,20000.0,8660.0,529.0,39186.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2020.0
69,LA,Bachelor's Degree,142333.33333333334,7.333333333333333,3.0,99866.66666666667,28600.0,13866.666666666666,8149.733333333334,568.8,59532.26666666667,0.0,1.0,0.0,0.0,0.0,0.3333333333333333,0.6,0.0,0.06666666666666667,0.0,2020.8
70,LA,Master's Degree,107000.0,10.25,6.25,94250.0,7750.0,5000.0,6395.25,311.0,45704.75,1.0,0.0,0.0,0.0,0.0,0.25,0.5,0.0,0.0,0.25,2020.25
71,LA,PhD,510000.0,18.0,3.0,330000.0,160000.0,20000.0,8774.0,622.0,66485.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021.0
72,LA,Some College,38000.0,1.0,0.0,38000.0,0.0,0.0,8723.0,716.0,78552.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2021.0
73,MA,Bachelor's Degree,181129.94350282487,5.833333333333333,2.1242937853107344,131491.5254237288,34895.4802259887,14822.033898305084,9711.175141242938,500.28248587570624,58766.06497175141,0.0,1.0,0.0,0.0,0.0,0.22598870056497175,0.5819209039548022,0.025423728813559324,0.031073446327683617,0.03672316384180791,2020.6412429378531
74,MA,Highschool,186250.0,7.0,1.5,128500.0,47500.0,10500.0,10281.0,379.5,69633.0,0.0,0.0,0.0,1.0,0.0,0.0,0.75,0.25,0.0,0.0,2021.0
75,MA,Master's Degree,202044.22604422603,7.395577395577396,2.8943488943488944,140206.38820638822,42862.40786240786,19073.710073710074,9861.039312039313,501.0638820638821,48115.700245700245,1.0,0.0,0.014742014742014743,0.0,0.0,0.35626535626535627,0.18673218673218672,0.019656019656019656,0.012285012285012284,0.014742014742014743,2020.3882063882063
76,MA,PhD,238137.25490196078,5.882352941176471,2.2450980392156863,156803.92156862744,54725.490196078434,26647.058823529413,9457.392156862745,506.0,51815.82352941176,0.0,0.0,1.0,0.0,0.0,0.27450980392156865,0.35294117647058826,0.0,0.0,0.0392156862745098,2020.5294117647059
77,MA,Some College,182400.0,9.7,3.2,134200.0,37000.0,11100.0,8824.4,506.0,56941.9,0.0,0.0,0.0,0.0,1.0,0.0,0.9,0.0,0.1,0.0,2020.6
78,MD,Bachelor's Degree,127000.0,6.194444444444445,3.0277777777777777,111527.77777777778,7361.111111111111,8333.333333333334,10210.222222222223,426.55555555555554,64646.0,0.0,1.0,0.0,0.0,0.0,0.027777777777777776,0.5833333333333334,0.027777777777777776,0.1111111111111111,0.08333333333333333,2020.8055555555557
79,MD,Highschool,48000.0,7.0,1.0,48000.0,0.0,0.0,3818.0,0.0,34374.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2020.0
80,MD,Master's Degree,132045.45454545456,8.681818181818182,3.3636363636363638,108931.81818181818,12068.181818181818,11000.0,7723.977272727273,313.9318181818182,53657.59090909091,1.0,0.0,0.0,0.0,0.0,0.29545454545454547,0.20454545454545456,0.045454545454545456,0.022727272727272728,0.11363636363636363,2020.5681818181818
81,MD,PhD,138000.0,5.5,2.0,128500.0,0.0,9500.0,17665.0,512.0,53720.0,0.0,0.0,1.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,2020.5
82,MD,Some College,124000.0,18.5,2.0,124000.0,500.0,0.0,6363.5,256.0,49764.5,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.5,2020.5
83,ME,Bachelor's Degree,92000.0,3.0,3.0,92000.0,0.0,0.0,9010.0,500.0,79949.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2021.0
84,ME,Master's Degree,106000.0,7.0,5.0,101000.0,0.0,5000.0,24265.0,537.0,78413.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2021.0
85,MI,Bachelor's Degree,115936.50793650794,6.222222222222222,3.6507936507936507,100476.19047619047,5428.571428571428,9968.253968253968,9246.396825396825,486.4761904761905,58800.09523809524,0.0,1.0,0.0,0.0,0.0,0.15873015873015872,0.4603174603174603,0.06349206349206349,0.12698412698412698,0.06349206349206349,2020.6190476190477
86,MI,Highschool,156666.66666666666,9.333333333333334,2.0,143333.33333333334,0.0,13333.333333333334,9057.333333333334,524.3333333333334,73238.33333333333,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2021.0
87,MI,Master's Degree,135241.37931034484,7.793103448275862,3.189655172413793,114655.1724137931,6793.103448275862,13810.344827586207,9315.413793103447,466.9310344827586,56408.0,1.0,0.0,0.0,0.0,0.0,0.46551724137931033,0.3103448275862069,0.0,0.0,0.034482758620689655,2020.5689655172414
88,MI,PhD,118666.66666666667,2.3333333333333335,2.3333333333333335,102666.66666666667,0.0,16000.0,7347.333333333333,336.6666666666667,58894.333333333336,0.0,0.0,1.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,2020.6666666666667
89,MI,Some College,110000.0,2.0,0.0,105000.0,0.0,5000.0,9052.0,505.0,58093.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2021.0
90,MN,Bachelor's Degree,130434.34343434343,5.828282828282828,2.707070707070707,113717.17171717172,5878.787878787879,10949.494949494949,13367.434343434343,598.5656565656566,58458.10101010101,0.0,1.0,0.0,0.0,0.0,0.15151515151515152,0.6767676767676768,0.020202020202020204,0.030303030303030304,0.010101010101010102,2020.6363636363637
91,MN,Highschool,150333.33333333334,6.666666666666667,2.0,117000.0,1666.6666666666667,31333.333333333332,9194.0,613.0,53125.333333333336,0.0,0.0,0.0,1.0,0.0,0.0,0.6666666666666666,0.0,0.3333333333333333,0.0,2020.3333333333333
92,MN,Master's Degree,180222.22222222222,8.555555555555555,4.033333333333333,141666.66666666666,20733.333333333332,18000.0,11385.4,612.9111111111112,48520.02222222222,1.0,0.0,0.0,0.0,0.0,0.26666666666666666,0.3111111111111111,0.044444444444444446,0.044444444444444446,0.0,2020.4222222222222
93,MN,PhD,169714.2857142857,7.285714285714286,3.7142857142857144,136571.42857142858,11571.42857142857,21714.285714285714,24082.14285714286,525.4285714285714,53922.857142857145,0.0,0.0,1.0,0.0,0.0,0.14285714285714285,0.42857142857142855,0.0,0.0,0.14285714285714285,2020.5714285714287
94,MO,Bachelor's Degree,109576.92307692308,5.4423076923076925,2.3653846153846154,97884.61538461539,4519.2307692307695,7269.2307692307695,13078.096153846154,612.5384615384615,61765.75,0.0,1.0,0.0,0.0,0.0,0.23076923076923078,0.5576923076923077,0.038461538461538464,0.019230769230769232,0.057692307692307696,2020.75
95,MO,Highschool,67500.0,3.0,2.5,59000.0,0.0,8500.0,32621.5,614.0,48183.0,0.0,0.0,0.0,1.0,0.0,0.5,0.5,0.0,0.0,0.0,2020.5
96,MO,Master's Degree,112482.14285714286,6.232142857142857,3.3482142857142856,99964.28571428571,3214.285714285714,9410.714285714286,11475.55357142857,613.125,52505.67857142857,1.0,0.0,0.0,0.0,0.0,0.42857142857142855,0.19642857142857142,0.0,0.017857142857142856,0.017857142857142856,2020.5
97,MO,PhD,100000.0,3.0,1.0,100000.0,0.0,0.0,9364.0,616.0,17433.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019.0
98,MO,Some College,145000.0,11.0,1.25,131000.0,7000.0,7000.0,11263.0,610.75,66216.5,0.0,0.0,0.0,0.0,1.0,0.0,0.75,0.0,0.25,0.0,2020.75
99,MS,Bachelor's Degree,115000.0,6.0,6.0,103000.0,0.0,12000.0,9509.0,640.0,45448.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2020.0
100,MS,Master's Degree,70000.0,2.0,1.0,68000.0,0.0,0.0,9504.0,673.0,74157.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2021.0
101,MT,Bachelor's Degree,110666.66666666667,3.6666666666666665,2.3333333333333335,91666.66666666667,9333.333333333334,10333.333333333334,9557.0,766.0,39256.333333333336,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2020.0
102,MT,Master's Degree,112000.0,14.0,4.5,109500.0,0.0,0.0,9544.0,754.0,57265.5,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2020.5
103,NC,Bachelor's Degree,146531.25,6.890625,3.2421875,118367.1875,15304.6875,13046.875,7072.15625,542.453125,60828.4765625,0.0,1.0,0.0,0.0,0.0,0.1640625,0.5078125,0.046875,0.09375,0.078125,2020.703125
104,NC,Master's Degree,158889.83050847458,7.440677966101695,3.0483050847457624,133093.22033898305,12830.50847457627,12957.627118644068,5664.440677966101,547.6271186440678,55182.80508474576,1.0,0.0,0.0,0.0,0.0,0.3813559322033898,0.22033898305084745,0.0,0.00847457627118644,0.00847457627118644,2020.542372881356
105,NC,PhD,174062.5,5.4375,2.8125,143937.5,13500.0,16562.5,7009.5625,541.1875,53924.25,0.0,0.0,1.0,0.0,0.0,0.0625,0.5625,0.0625,0.0,0.0,2020.5625
106,NC,Some College,125714.28571428571,10.714285714285714,1.5714285714285714,109000.0,5571.428571428572,11571.42857142857,9376.714285714286,552.4285714285714,59059.142857142855,0.0,0.0,0.0,0.0,1.0,0.14285714285714285,0.7142857142857143,0.0,0.0,0.14285714285714285,2020.7142857142858
107,ND,Bachelor's Degree,175000.0,20.0,20.0,135000.0,0.0,40000.0,9721.0,724.0,61553.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2021.0
108,ND,Master's Degree,180000.0,15.0,11.0,145000.0,15000.0,20000.0,9721.0,724.0,64887.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2021.0
